"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"21745";1735;"";"";"Kluczborska  11 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania";"przebudowa";"2015-05-22";"16405/15";"3378/15";"2015-07-07";2015;5;"2015-05-01";33;"2015_05";"Wiosna";17,0457096;51,1225727
"21746";1736;"";"";"Haisiga Mariana  13 ";"bud.o dwÛch mieszkaniach";"budowa domu jednorodzinnego";"nowe";"2015-06-23";"20303/15";"3380/15";"2015-07-07";2015;6;"2015-06-01";11;"2015_06";"Lato";16,8765564;51,1638614
"21747";1737;"";"";"G≥ogowska 1 ";"bud.o trzech i wiÍcej mieszkaniach";"remont balkonÛw w budynku wielorodzinnym";"remont";"2015-06-15";"19424/15";"3381/15";"2015-07-07";2015;6;"2015-06-01";17;"2015_06";"Lato";17,003083;51,1152809
"21748";1738;"";"";"Granitowa  ";"rurociπgi kanalizac.sieci rozdzielczej";"budowa sieci wodociπgowej";"nowe";"2015-05-06";"14381/15";"3382/15";"2015-07-07";2015;5;"2015-05-01";45;"2015_05";"Wiosna";17,0408566;51,0666802
"21749";1739;"";"";"Spiska 1 ";"bud.kultury fizycznej";"rozbudowa i przebudowa budynku zaplecza sportu i rekreacji";"przebudowa";"2015-05-12";"15067/15";"3383/15";"2015-07-07";2015;5;"2015-05-01";41;"2015_05";"Wiosna";17,0310174;51,0853055
"21750";1740;"";"";"Krzeszowska 18A ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego w zabudowie bliüniaczej";"nowe";"2015-05-08";"14802/15";"3384/15";"2015-07-07";2015;5;"2015-05-01";43;"2015_05";"Wiosna";16,896278;51,136232
"21751";1741;"";"";"Steinhausa Hugona 8 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-05-06";"14367/15";"3385/15";"2015-07-07";2015;5;"2015-05-01";45;"2015_05";"Wiosna";16,9760213;51,0737069
"21752";1742;"";"";"Reymonta W≥adys≥awa 3 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø instalacji gazu i c.o.w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-06-16";"19449/15";"3386/15";"2015-07-07";2015;6;"2015-06-01";16;"2015_06";"Lato";17,0280783;51,1266424
"21753";1743;"";"";"Jeüdziecka 30B ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pomieszczenia wraz z montaøem wewnÍtrznej instalacji gazu.";"przebudowa";"2015-06-18";"19836/15";"3387/15";"2015-07-07";2015;6;"2015-06-01";14;"2015_06";"Lato";16,996443;51,061994
"21754";1744;"";"";"Wejherowska  ";"rurociπgi kanalizac.sieci rozdzielczej";"budowa kana≥u sanitarnego";"nowe";"2015-05-07";"14474/15";"3389/15";"2015-07-07";2015;5;"2015-05-01";44;"2015_05";"Wiosna";16,9854656;51,1292371
"21755";1745;"";"";"Kielecka  2A ";"bud.o dwÛch mieszkaniach";"budowa dwÛch budynkÛw mieszkalnych";"nowe";"2015-03-18";"8680/15";"3390/15";"2015-07-07";2015;3;"2015-03-01";80;"2015_03";"Wiosna";16,888801;51,1399033
"21756";1746;"";"";"Prusa Boles≥awa 15 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku mieszkalnym wielorodzinnym.";"przebudowa";"2015-06-09";"18572/15";"3392/15";"2015-07-07";2015;6;"2015-06-01";21;"2015_06";"Lato";17,048415;51,1196301
"21757";1747;"";"";"KrotoszyÒska  ";"rurociπgi gazu sieci rozdzielczej";"budowa sieci gazowej niskiego ciúnienia wraz z przy≥πczami gazu do budynkow";"nowe";"2015-05-05";"14288/15";"3394/15";"2015-07-07";2015;5;"2015-05-01";46;"2015_05";"Wiosna";16,9945674;51,140675
"21758";1748;"";"";"Ruska 6 ";"bud.hoteli";"przebudowa budynku na hotel";"przebudowa";"2015-06-08";"18473/15";"3397/15";"2015-07-07";2015;6;"2015-06-01";22;"2015_06";"Lato";17,0280297;51,1100705
"21759";1749;"";"";"Strzegomska 142 ";"bud.biurowe";"umorzenie";"nowe";"2015-05-29";"17476/15";"3399/15";"2015-07-07";2015;5;"2015-05-01";28;"2015_05";"Wiosna";16,9760515;51,1139354
"21760";1750;"";"";"Boles≥awa Krzywoustego 284 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania";"przebudowa";"2015-05-13";"15275/15";"3405/15";"2015-07-07";2015;5;"2015-05-01";40;"2015_05";"Wiosna";17,1098149;51,145702
"21761";1751;"";"";"Straøacka  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-04-30";"13894/15";"3406/15";"2015-07-07";2015;4;"2015-04-01";49;"2015_04";"Wiosna";17,0157685;51,1721311
"21762";1752;"";"";"Wincentego åw. 2 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-05-21";"16229/15";"3407/15";"2015-07-07";2015;5;"2015-05-01";34;"2015_05";"Wiosna";17,0322702;51,1228211
