"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"2503";3554;"";"";"Koœcielna  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego";"nowe";"2015-02-13";"4505/15";"6722/15";"2015-12-21";2015;2;"2015-02-01";222;16,9807447;51,0642643
"2504";3562;"";"";"Magellana Ferdynanda  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków wielorodzinnych";"nowe";"2015-10-12";"33790/15";"6733/15";"2015-12-21";2015;10;"2015-10-01";51;17,1216276;51,1116821
"2505";3563;"";"";"Pieniñska 4 ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-04";"36451/15";"6735/15";"2015-12-21";2015;11;"2015-11-01";34;16,8909128;51,1503016
"2506";3564;"";"";"Igielna  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalno-us³ugowego";"nowe";"2015-07-15";"23348/15";"6738/15";"2015-12-21";2015;7;"2015-07-01";114;17,0321469;51,1115111
"2507";3566;"";"";"Polo Marca  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego";"nowe";"2015-10-20";"34798/15";"6740/15";"2015-12-22";2015;10;"2015-10-01";46;17,1160196;51,1115561
"2508";3569;"";"";"Obornicka  ";"bud.o trzech i wiêcej mieszkaniach";"zespó³ trzech budynków mieszkalnych";"nowe";"2015-11-18";"38126/15";"6744/15";"2015-12-22";2015;11;"2015-11-01";25;17,0216138;51,1467355
"2509";3599;"";"";"Bazyliowa  ";"bud.mieszkalne jednorodzinne";"budowa  czterech budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej";"nowe";"2015-11-26";"38961/15";"6811/15";"2015-12-29";2015;11;"2015-11-01";24;17,0020369;51,174609
"2510";3606;"";"";"Janowska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-10-29";"35896/15";"6828/15";"2015-12-30";2015;10;"2015-10-01";45;16,9069681;51,1878024
"2511";3609;"";"";"Tuwima Juliana  ";"bud.o dwóch mieszkaniach";"budowa budynku jednorodzinnego";"nowe";"2015-10-02";"32848/15";"6834/15";"2015-12-30";2015;10;"2015-10-01";64;17,0030539;51,0747468
"2512";3612;"";"";"Bazyliowa  ";"bud.o dwóch mieszkaniach";"budowa trzech budynków mieszkalnych jednorodzinnych dwulokalowych w zabudowie szeregowej";"nowe";"2015-11-26";"38960/15";"6838/15";"2015-12-30";2015;11;"2015-11-01";25;17,0020369;51,174609
