"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"20091";81;"";"";"Borowska 264 ";"bud.biurowe";"umorzenie postêpowania";"przebudowa";"2014-12-30";"41704/14";"175/15";"2015-01-15";2014;12;"2014-12-01";13;17,032965;51,071568
"20092";82;"";"";"Staszica Stanis³awa Plac  12 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie postêpowania";"przebudowa";"2014-10-24";"34607/14";"176/15";"2015-01-15";2014;10;"2014-10-01";60;17,0290799;51,1239429
"20093";83;"";"";"Marszowicka  ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"nowe";"2014-12-23";"41389/14";"177/15";"2015-01-15";2014;12;"2014-12-01";18;16,8765318;51,1581928
"20094";84;"";"";"Lipowa Aleja  37 ";"bud.mieszkalne jednorodzinne";"umorzenie";"przebudowa";"2015-01-02";"46/15";"178/15";"2015-01-15";2015;1;"2015-01-01";10;17,022616;51,0821229
"20095";85;"";"";"Robotnicza  46 ";"zbiorniki,silosy i bud.magazynowe";"umorzenie";" ÿÿ";"2014-11-12";"36546/14";"180/15";"2015-01-15";2014;11;"2014-11-01";47;17,0006579;51,111007
"20096";86;"";"";"Marszowice";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2014-11-18";"37248/14";"181/15";"2015-01-15";2014;11;"2014-11-01";43;16,8855026;51,1698498
"20097";87;"";"";"Paprotna 7 ";"bud.handlowo-uslugowe";"przebudowa lokalu na klub";"przebudowa";"2014-10-20";"33931/14";"185/15";"2015-01-15";2014;10;"2014-10-01";64;17,0262679;51,1517799
"20098";88;"";"";"Jutrzenki  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych wielorodzinnych";"nowe";"2014-10-31";"35291/14";"186/15";"2015-01-15";2014;10;"2014-10-01";55;16,9799311;51,0710148
"20099";89;"";"";"Grunwaldzka  94 ";"bud.biurowe";"rozbudowa budynku na salê konferencyjn¹";"rozbudowa";"2014-11-06";"36100/14";"187/15";"2015-01-15";2014;11;"2014-11-01";51;17,068619;51,1150205
"20100";90;"";"";"Ruska  47 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie jako bezprzedmiotowe";"przebudowa";"2014-11-18";"37116/14";"188/15";"2015-01-15";2014;11;"2014-11-01";43;17,024925;51,1106704
"20101";91;"";"";"Stanis³awowska  38-44 ";"bud.szkó³ i instytucji badawczych";"rozbudowa i przebudowa budynku zespo³u szkolno-przedszkolnego";"rozbudowa";"2015-01-08";"327/15";"189/15";"2015-01-15";2015;1;"2015-01-01";6;16,9504777;51,0951649
"20102";92;"";"";"Jesionowa  30 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-12-09";"39534/14";"191/15";"2015-01-15";2014;12;"2014-12-01";28;17,0506;51,0870449
"20103";93;"";"";"Wiêzienna 1-4 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"przebudowa";"2014-12-12";"39987/14";"193/15";"2015-01-15";2014;12;"2014-12-01";25;17,0321327;51,1111813
"20104";94;"";"";"Stargardzka -Droga Fabryczna *  ";"zbiorniki,silosy i bud.magazynowe";"budowa zewnêtrznej instalacji wody i zewnêtrznej instalacji kanalizacji sanitarnej dla budynków magazynowych";"inst.wewnêtrzna";"2014-12-02";"38765/14";"195/15";"2015-01-15";2014;12;"2014-12-01";33;16,9515207;51,1307272
"20105";95;"";"";"Skwierzyñska  23 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnêtrzna";"2014-11-28";"38501/14";"197/15";"2015-01-15";2014;11;"2014-11-01";35;17,0137259;51,098344
"20106";96;"";"";"Prusa Boles³awa  44 ";"bud.handlowo-uslugowe";"przebudowa lokalu na aptekê";"przebudowa";"2014-11-20";"37505/14";"199/15";"2015-01-16";2014;11;"2014-11-01";42;17,0455687;51,1199041
"20107";97;"";"";"S³owiañska  17 ";"bud.o trzech i wiêcej mieszkaniach";"remont stropu na klatce schodowej w budynku wielorodzinnym";"remont";"2014-12-04";"39112/14";"200/15";"2015-01-16";2014;12;"2014-12-01";32;17,041083;51,1234656
"20108";98;"";"";"Rynek  18 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa piwnic w budynku wielorodzinnym";"remont";"2014-10-31";"35419/14";"201/15";"2015-01-16";2014;10;"2014-10-01";56;17,0312119;51,1093384
"20109";99;"";"";"Kruszwicka  43-53 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów w budynku wielorodzinnym";"remont";"2014-12-22";"41173/14";"203/15";"2015-01-16";2014;12;"2014-12-01";20;17,0077119;51,114551
"20110";100;"";"";"Litomska 3-9 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów w budynku mieszkalnym";"remont";"2014-12-22";"41170/14";"205/15";"2015-01-16";2014;12;"2014-12-01";20;17,009389;51,11461
"20111";101;"";"";"Przeskok 4 ";"bud.o trzech i wiêcej mieszkaniach";"odmowa";"remont";"2014-12-03";"38929/14";"206/15";"2015-01-16";2014;12;"2014-12-01";33;17,046661;51,119409
"20112";102;"";"";"Œlê¿na 168 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-11-26";"38104/14";"207/15";"2015-01-16";2014;11;"2014-11-01";38;17,0198316;51,0778982
"20113";103;"";"";"Kruszcowa 5 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów w budynku wielorodzinnym";"remont";"2014-12-22";"41168/14";"208/15";"2015-01-16";2014;12;"2014-12-01";20;16,8910725;51,1493087
"20114";104;"";"";"Przybyszewskiego Stanis³awa  24 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu w lokalu mieszkalnym w budynku wielorodzinnym";"inst.wewnêtrzna";"2014-11-26";"38148/14";"212/15";"2015-01-16";2014;11;"2014-11-01";38;17,0600671;51,1361403
"20115";105;"";"";"Koœciuszki Tadeusza  65 ";"bud.o trzech i wiêcej mieszkaniach";"remont wraz z dociepleniem œciany szczytowej budynku mieszkalnego";"remont";"2014-10-28";"34880/14";"213/15";"2015-01-16";2014;10;"2014-10-01";59;17,0376346;51,1016231
"20116";106;"";"";"Mieszczañska  11 ";"bud.kultury fizycznej";"monta¿ instalacji wodociagowej";"inst.wewnêtrzna";"2014-12-19";"40948/14";"217/15";"2015-01-16";2014;12;"2014-12-01";21;17,0253145;51,1172262
"20117";107;"";"";"Kruszwicka  33-41 ";"bud.o trzech i wiêcej mieszkaniach";"remont balkonów wielorodzinnych";"remont";"2014-12-22";"41171/14";"219/15";"2015-01-19";2014;12;"2014-12-01";21;17,008826;51,114396
"20118";108;"";"";"Chorzowska 2 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa pomieszczeñ us³ugowych wraz z wymian¹ witryn";"przebudowa";"2014-12-10";"39815/14";"220/15";"2015-01-19";2014;12;"2014-12-01";29;17,0840906;51,0759514
"20119";109;"";"";"Skwierzyñska 20A ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodzinnym";"przebudowa";"2014-12-12";"39973/14";"221/15";"2015-01-19";2014;12;"2014-12-01";27;17,0172819;51,0996479
"20120";110;"";"";"Lekcyjna 4 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa trzech lokali mieszkalnych na dwa lokale mieszkalne w budynku wielorodzinnym";"przebudowa";"2014-11-25";"38007/14";"222/15";"2015-01-19";2014;11;"2014-11-01";40;17,0735679;51,1492809
"20121";111;"";"";"Strachowicka  ";"ruroci¹gi wodoci¹g.sieci rozdzielczej";"budowa sieci wodoci¹gowej";"nowe";"2014-12-09";"39650/14";"223/15";"2015-01-19";2014;12;"2014-12-01";30;16,9070911;51,1156051
"20122";112;"";"";"Rozbrat 1 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ kana³u wentylacyjnego dla toalety w lokalu mieszkalnym";"przebudowa";"2014-12-11";"39921/14";"227/15";"2015-01-19";2014;12;"2014-12-01";28;17,0532119;51,117863
"20123";113;"";"";"Paderewskiego Ignacego Jana Aleja  35 ";"bud.handlowo-uslugowe";"przebudowa tarasu przy budynku klubowym kortow tenisowych";"przebudowa";"2014-11-07";"36157/14";"228/15";"2015-01-19";2014;11;"2014-11-01";52;17,0906506;51,1179435
"20124";114;"";"";"Kazimierza Jagielloñczyka  14 ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa stropu w budynku wielorodzinnym";"remont";"2014-10-21";"34219/14";"229/15";"2015-01-19";2014;10;"2014-10-01";65;17,0339347;51,1214821
"20125";115;"";"";"Górnickiego £ukasza6 12 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"remont";"2014-11-12";"36568/14";"231/15";"2015-01-19";2014;11;"2014-11-01";49;17,0549189;51,1157245
"20126";116;"";"";"Zamkowa  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego z lokalami us³ugowymi";"nowe";"2014-11-03";"35589/14";"233/15";"2015-01-19";2014;11;"2014-11-01";56;17,02916;51,1068599
"20127";117;"";"";"Szanieckiego Jana 7 ";"bud.mieszkalne jednorodzinne";"umorzenie";"rozbudowa";"2014-11-07";"36240/14";"234/15";"2015-01-20";2014;11;"2014-11-01";53;17,1005986;51,1134516
"20128";118;"";"";"Mrozowska  ";"ruroci¹gi gazu sieci rozdzielczej";"budowa gazoci¹gu œc z przy³¹czem gazu";"nowe";"2014-11-21";"37556/14";"235/15";"2015-01-20";2014;11;"2014-11-01";43;16,8784281;51,1783329
"20129";119;"";"";"Porajowska  ";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2014-12-30";"41588/14";"240/15";"2015-01-20";2014;12;"2014-12-01";16;17,0385376;51,1078852
"20130";120;"";"";"Grabiszyñska 301 ";"bud.o trzech i wiêcej mieszkaniach";"monta¿ wewnêtrznej instalacji gazu";"inst.wewnêtrzna";"2014-11-24";"37773/14";"242/15";"2015-01-20";2014;11;"2014-11-01";42;16,9777479;51,0933209
"20131";121;"";"";"Bora-Komorowskiego T. Gen 6 ";"ruroci¹gi kanalizac.sieci rozdzielczej";"budowa podczyszczalni œcieków sanitarnych";"nowe";"2014-11-24";"37706/14";"243/15";"2015-01-20";2014;11;"2014-11-01";42;17,1193473;51,1569159
"20132";122;"";"";"Grabiszyñska 241 ";"linie telekomunikacyjne dalek.zasiêgu";"odmowa";"nowe";"2014-11-14";"36800/14";"249/15";"2015-01-20";2014;11;"2014-11-01";48;16,9879578;51,0971636
"20133";123;"";"";"Kosidowskiego Zenona 8 ";"bud.mieszkalne jednorodzinne";"przebudowa budynku mieszkalnego jednorodzinnego";"przebudowa";"2015-01-14";"977/15";"250/15";"2015-01-20";2015;1;"2015-01-01";5;16,9478926;51,1034078
"20134";124;"";"";"Rynek  16/17 ";"bud.o trzech i wiêcej mieszkaniach";"umorzenie";"przebudowa";"2014-10-24";"34619/14";"251/15";"2015-01-20";2014;10;"2014-10-01";63;17,031052;51,1093678
"20135";125;"";"";"Lwowska 33D ";"bud.o trzech i wiêcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodzinnym";"przebudowa";"2014-12-02";"38778/14";"252/15";"2015-01-20";2014;12;"2014-12-01";36;17,012383;51,098757
"20136";126;"";"";"Podwale  82-91 ";"linie elektroener.i telekom.rozdzielcz.";"budowa przy³¹cza elektroenergetycznego œredniego napiêcia oraz rozdzielnicy w budynku";"przy³¹cze";"2014-12-22";"41055/14";"253/15";"2015-01-20";2014;12;"2014-12-01";22;17,0416804;51,1069323
"20137";127;"";"";"So³tysowicka  13-15 ";"zbiorniki,silosy i bud.magazynowe";"przebudowa czêœci pomieszczeñ magazynowych";"przebudowa";"2014-11-04";"35624/14";"254/15";"2015-01-20";2014;11;"2014-11-01";56;17,073587;51,145765
"20138";128;"";"";"Dembowskiego Edwarda  39 ";"bud.szkó³ i instytucji badawczych";"przebudowa schodów w gimnazjum";"przebudowa";"2014-12-01";"38609/14";"258/15";"2015-01-20";2014;12;"2014-12-01";37;17,0934203;51,1053681
"20139";129;"";"";"Barlickiego Norberta  42 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-12-19";"40862/14";"260/15";"2015-01-20";2014;12;"2014-12-01";23;17,0510269;51,124057
